District,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,,
Raigarh (Raigad),288,52,10,3,1,,
Sangli,320,59,12,2,0,,
Satara,400,71,15,2,1,,
Sindhudurg,248,38,7,3,1,,
Solapur,431,77,13,3,0,,
Thane,492,78,14,6,1,,
Wardha,181,27,6,2,1,,
Washim,153,25,7,0,1,,
Yavatmal,435,63,14,3,0,,
Bishnupur,36,5,2,0,1,,
Chandel,26,5,0,1,1,,
Churachandpur,61,11,1,0,1,,
Imphal East,53,11,2,0,0,,
Imphal West,51,8,2,0,0,,
Tamenglong,29,6,1,0,1,,
Thoubal,58,12,5,0,1,,
Ukhrul,40,8,1,0,1,,
East Garo Hills,73,16,2,0,1,,
East Khasi Hills,66,23,6,0,2,,
Jaintia Hills,76,18,5,0,1,,
Ri Bhoi,26,8,3,0,1,,
South Garo Hills,21,7,1,0,1,,
West Garo Hills,82,18,7,0,2,,
West Khasi Hills,61,19,5,0,2,,
Aizawl(West),40,5,0,1,1,,
Aizwal(East),54,5,2,0,0,,
Champhai,59,11,2,0,1,,
Kolasib,29,5,1,0,1,,
Lawngtlai,37,6,1,0,1,,
Lunglei,71,9,1,1,1,,
Mamit,30,7,1,0,1,,
Saiha,24,4,0,0,1,,
Serchhip,26,5,1,0,1,,
Dimapur,47,8,2,0,1,,
Kohima,40,14,3,0,1,,
Kiphere,19,4,1,0,1,,
Longleng,8,3,0,0,1,,
Mokokchung,51,14,3,0,1,,
Mon,50,15,2,0,1,,
Phek,43,23,3,0,1,,
Peren,16,8,1,0,1,,
Tuensang,38,12,2,0,1,,
Wokha,37,12,2,0,1,,
Zunheboto,47,13,2,0,1,,
Anugul,166,31,10,3,1,,
Balangir,226,42,15,2,1,,
Baleshwar (Balasore),275,69,15,1,1,,
Bargarh,204,46,14,1,1,,
Baudh,67,12,5,0,1,,
Bhadrak,178,50,7,0,1,,
Cuttack,332,57,18,2,1,,
Debagarh (Deogarh),42,7,4,0,1,,
Gajapati,136,20,8,0,1,,
Ganjam,460,89,30,2,1,,
Jagatsinghapur,189,37,9,0,1,,
Jajapur,260,56,12,0,1,,
Jharsuguda,66,15,6,0,1,,
Kalahandi,242,43,16,1,1,,
Kandhamal,172,36,14,1,1,,
Kendrapara,227,45,9,0,1,,
Kendujhar (Keonjhar),351,61,17,2,1,,
Khordha,202,46,13,0,2,,
Koraput,307,48,16,1,1,,
Malkangiri,158,25,8,0,1,,
Mayurbhanj,589,82,28,3,1,,
Nuapada,95,17,6,0,1,,
Puri,241,45,16,0,1,,
Rayagada,235,36,11,1,1,,
Sambalpur,167,31,11,2,1,,
Sundargarh,390,56,20,2,2,,
Karaikal,17,9,1,0,0,,
Mahe,0,0,0,0,0,,
Puducherry,36,15,2,0,0,,
Amritsar,179,37,4,2,1,,
Bathinda,136,20,9,2,1,,
Faridkot,62,8,4,1,1,,
Fatehgarh Sahib,73,14,4,1,1,,
Firozpur,231,34,8,3,1,,
Gurdaspur,290,40,15,2,1,,
Hoshiarpur,244,32,10,3,1,,
Jalandhar,198,29,10,2,1,,
Kapurthala,88,13,4,2,1,,
Mansa,103,14,4,1,1,,
Moga,121,22,5,1,1,,
Mohali,79,13,4,1,1,,
Muktsar,102,17,5,2,1,,
Patiala,186,28,10,3,1,,
Ropar,83,14,2,1,1,,
Sangrur,194,32,6,2,1,,
Tarn Taran,153,18,9,1,1,,
Ajmer,290,43,11,2,2,,
Alwar,576,70,24,0,1,,
Banswara,401,41,14,0,1,,
Baran,206,36,9,0,1,,
Barmer,546,61,14,1,1,,
Bharatpur,396,57,13,0,1,,
Bhilwara,415,63,16,0,1,,
Bikaner,383,39,10,0,1,,
Bundi,177,25,7,0,1,,
Chittaurgarh,300,37,14,0,1,,
Churu,377,60,10,2,1,,
Dausa,237,28,8,0,1,,
Dhaulpur,195,21,6,0,1,,
Dungarpur,318,37,10,1,1,,
Hanumangarh,285,39,9,0,1,,
Jaipur,525,88,18,1,1,,
Jaisalmer,137,15,6,0,1,,
Jalore,394,53,8,0,1,,
Jhalwar,274,30,14,0,0,,
Jhunjhunu,444,72,13,0,1,,
Jodhpur,579,66,15,0,2,,
Karauli,256,25,7,0,1,,
Kota,161,27,9,0,1,,
Pali,432,67,15,1,1,,
Rajsamand,219,36,7,1,1,,
Sawai Madhopur,228,22,4,1,1,,
Sikar,536,70,17,0,1,,
Sirohi,191,22,6,0,1,,
Tonk,250,45,7,0,1,,
Udaipur,557,69,21,0,1,,
Pratapgarh,174,23,6,0,1,,
East,48,6,1,0,1,,
North ,18,5,0,0,1,,
South,39,6,1,0,1,,
West,41,7,0,0,1,,
Coimbatore,328,35,12,8,1,,
Cuddalore,319,47,13,7,1,,
Dharmapuri,218,28,8,3,1,,
Dindigul,311,43,14,11,1,,
Erode,311,38,14,7,1,,
Kancheepuram,364,44,13,7,1,,
Karur,168,23,8,5,1,,
Madurai,314,38,13,5,1,,
Perambalur,203,51,10,6,1,,
Pudukkottai,240,42,13,11,1,,
Salem,398,59,20,8,1,,
Sivaganga,275,36,12,9,1,,
Thanjavur,309,49,14,12,1,,
The Nilgiris,194,26,4,5,1,,
Theni,162,22,8,5,1,,
Thiruvallur,303,34,14,10,1,,
Thiruvarur,195,32,10,6,1,,
Tiruchirappalli (Trichy),307,42,14,8,1,,
Tirunelveli,383,50,19,12,1,,
Tiruppur,242,30,13,7,1,,
Toothukudi,249,36,12,8,1,,
Vellore,454,55,20,9,1,,
Viluppuram,557,68,22,8,1,,
Dhalai,70,11,1,3,0,,
North Tripura ,110,19,1,2,1,,
South Tripura ,169,25,3,3,1,,
West Tripura ,283,24,6,3,0,,
Agra,383,68,7,0,0,,
Aligarh,351,60,11,0,0,,
Allahabad,539,87,14,0,0,,
Aurayya,164,29,4,0,0,,
Azamgarh,490,100,11,0,0,,
Badaun,370,70,10,0,0,,
Baghpat,135,28,4,0,0,,
Bahraich,276,50,6,0,0,,
Balia,366,82,11,0,0,,
Balrampur,214,37,4,0,0,,
Banda,285,51,5,0,0,,
Barabanki,353,55,12,0,0,,
Bareilly,413,65,6,0,0,,
Basti,267,61,4,0,0,,
Bijnor,343,59,8,0,0,,
Bulandshahar,390,77,10,0,0,,
Chaundoli,244,39,5,0,0,,
Chitrakoot,140,30,3,0,0,,
Deoria,364,74,10,0,0,,
Etah,178,32,8,0,0,,
Etawah,169,48,5,0,0,,
Faizabad,255,44,7,0,0,,
Farrukhabad,192,31,6,0,0,,
Fatehpur,309,57,5,0,0,,
Ferozabad,240,53,7,0,0,,
Gaziabad,292,46,7,0,0,,
Ghazipur,393,74,12,0,0,,
Gonda,338,59,5,0,0,,
Gorakhpur,448,87,9,0,0,,
Hamirpur,215,33,4,0,0,,
Hardoi,432,76,9,0,0,,
Hathras,147,46,3,0,0,,
Jalaun,286,48,5,0,0,,
Jaunpur,499,94,13,0,0,,
Jhansi,326,45,6,0,0,,
Kanpur (Dehat),217,35,7,0,0,,
Kaushambi,170,39,3,0,0,,
Khiri,387,71,11,0,0,,
Lalitpur,191,29,4,0,0,,
Lucknow,336,37,11,0,0,,
Maharanganj,278,54,8,0,0,,
Mahoba,150,21,3,0,0,,
Mainpuri,203,51,6,0,0,,
Mathura,261,44,8,0,0,,
Mau,225,48,5,0,0,,
Meerut,358,43,4,0,0,,
Mirzapur,265,48,7,0,0,,
Moradabad,416,57,8,0,0,,
Pilibhit,195,34,6,0,0,,
Pratapgarh,360,71,17,0,0,,
Raibareilly,377,71,10,0,0,,
Rampur,211,36,5,0,0,,
Saharanpur,338,55,11,0,0,,
Shahjahanpur,310,54,12,0,0,,
Shrawasti,167,25,4,0,0,,
Sitapur,448,85,9,0,0,,
Sonbhadra,165,33,5,0,0,,
Sultanpur,403,77,14,0,0,,
Almora,195,28,4,2,2,,
Bageshwar,77,11,2,0,1,,
Chamoli,104,13,5,0,1,,
Champawat,66,6,2,1,0,,
Dehradun,167,19,7,4,2,,
Pauri Garhwal,218,22,5,3,2,,
Haridwar,159,28,6,2,2,,
Pithoragarh,154,18,4,0,2,,
Rudraprayag,65,11,2,0,1,,
Tehri Garhwal,190,26,5,1,1,,
Uttarkashi,81,11,3,0,1,,
Bankura ,564,69,22,0,0,,
Barddhaman ,765,104,35,0,0,,
Birbhum,484,58,19,0,0,,
Darjiling ,230,22,12,0,0,,
Haora ,448,41,15,0,0,,
Hugli ,660,59,18,0,0,,
Jalpaiguri ,537,38,14,0,0,,
Koch Bihar ,406,29,12,0,0,,
Maldah ,511,35,15,0,0,,
Medinipur(W),858,84,29,0,0,,
Medinipur(E),706,53,25,0,0,,
Murshidabad ,832,69,27,0,0,,
Puruliya,485,52,20,0,0,,
