District code,District,Urban / rural,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital
209,Araria,Total,716,26,3,"5,68,142","28,11,569","14,63,333","13,48,236",2830.0,993,199,33,2,1,1
210,Kishanganj,Total,732,39,3,"3,38,445","16,90,400","8,66,970","8,23,430",1884.0,897,136,16,2,0,1
211,Purnia,Total,"1,113",160,3,"6,47,777","32,64,619","16,99,370","15,65,249",3229.0,"1,011",334,44,2,0,1
212,Katihar,Total,"1,306",234,3,"6,19,076","30,71,029","16,00,430","14,70,599",3057.0,"1,005",330,62,1,2,1
213,Madhepura,Total,380,59,3,"4,01,289","20,01,762","10,47,559","9,54,203",1788.0,"1,120",272,36,0,0,1
214,Saharsa,Total,445,23,1,"3,68,979","19,00,661","9,97,174","9,03,487",1687.0,"1,127",152,42,0,1,1
215,Darbhanga,Total,"1,069",178,4,"8,03,012","39,37,385","20,59,949","18,77,436",2279.0,"1,728",259,55,2,1,0
216,Muzaffarpur,Total,"1,719",67,9,"9,45,703","48,01,062","25,27,497","22,73,565",3172.0,"1,514",480,94,1,0,1
217,Gopalganj,Total,"1,395",139,5,"4,13,044","25,62,012","12,67,666","12,94,346",2033.0,"1,260",195,35,3,1,1
218,Siwan,Total,"1,435",95,3,"5,35,661","33,30,464","16,75,090","16,55,374",2219.0,"1,501",367,61,3,0,1
219,Saran,Total,"1,570",194,6,"6,31,097","39,51,862","20,22,821","19,29,041",2641.0,"1,496",413,63,3,1,1
220,Vaishali,Total,"1,422",147,3,"6,26,087","34,95,021","18,44,535","16,50,486",2036.0,"1,717",335,47,3,1,1
221,Samastipur,Total,"1,129",117,7,"8,35,493","42,61,566","22,30,003","20,31,563",2904.0,"1,467",362,65,1,3,1
222,Begusarai,Total,694,446,10,"5,89,667","29,70,541","15,67,660","14,02,881",1918.0,"1,549",287,41,2,1,1
223,Khagaria,Total,245,56,2,"3,28,823","16,66,886","8,83,786","7,83,100",1486.0,"1,122",171,26,1,1,1
224,Bhagalpur,Total,966,549,10,"5,64,711","30,37,766","16,15,663","14,22,103",2569.0,"1,182",258,71,3,2,1
225,Banka,Total,"1,702",409,2,"3,81,601","20,34,763","10,67,140","9,67,623",3020.0,674,265,43,3,1,1
226,Munger,Total,534,324,7,"2,63,171","13,67,765","7,29,041","6,38,724",1419.0,964,151,30,0,1,1
227,Lakhisarai,Total,362,110,2,"1,63,355","10,00,912","5,26,345","4,74,567",1228.0,815,102,22,1,1,1
228,Sheikhpura,Total,261,53,2,"1,00,701","6,36,342","3,29,743","3,06,599",689.0,924,85,23,1,1,1
231,Bhojpur,Total,997,220,6,"4,16,090","27,28,407","14,30,380","12,98,027",2395.0,"1,139",302,42,3,1,1
232,Buxar,Total,835,298,3,"2,61,660","17,06,352","8,87,977","8,18,375",1703.0,"1,002",147,35,0,2,1
233,Kaimur (Bhabua),Total,"1,337",358,3,"2,50,884","16,26,384","8,47,006","7,79,378",3332.0,488,183,30,2,2,1
234,Rohtas,Total,"1,717",355,10,"4,60,345","29,59,918","15,43,546","14,16,372",3881.0,763,186,51,2,2,1
235,Aurangabad,Total,"1,742",105,6,"3,91,898","25,40,073","13,18,684","12,21,389",3305.0,769,216,70,3,0,1
235,Aurangabad,Total,"1,742",105,6,"3,91,898","25,40,073","13,18,684","12,21,389",3305.0,769,279,50,10,3,0
236,Gaya,Total,"2,682",204,6,"6,88,425","43,91,418","22,66,566","21,24,852",4976.0,883,440,71,2,0,1
238,Jamui,Total,"1,324",179,5,"3,07,082","17,60,405","9,16,064","8,44,341",3098.0,568,279,57,3,1,1
240,Arwal,Total,299,17,1,"1,18,222","7,00,843","3,63,497","3,37,346",638.0,"1,099",64,28,0,0,1
245,Tawang,Total,218,17,1,"10,062","49,977","29,151","20,826",2172.0,23,0,0,0,0,1
246,West Kameng,Total,260,23,3,"18,159","83,947","46,155","37,792",7422.0,11,0,0,0,0,1
247,East Kameng,Total,356,26,1,"14,508","78,690","38,775","39,915",4134.0,19,0,0,0,0,1
248,Papum Pare,Total,455,30,3,"35,730","1,76,573","89,182","87,391",3462.0,51,0,0,0,0,1
249,Upper Subansiri,Total,543,10,1,"15,869","83,448","41,758","41,690",7032.0,12,0,0,0,0,1
