Year,District,Total cases,Total deaths,District code,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,Percent_Female,Avg_Household_Size,Total_Health_Facilities,Total_Hospitals,Facilities_Per_100k,Hospitals_Per_100k,Percent_Male,Population_Density in sq km
2000,Upper Siang,474.0,0.0,252.0,98.0,14.0,1.0,7324.0,35320.0,18699.0,16621.0,6590.0,5.0,0.0,0.0,0.0,0.0,1.0,47.05832389580974,4.822501365374112,0.0,1.0,0.0,2.831257078142696,52.94167610419026,5.0
2000,Upper Subansiri,652.0,0.0,249.0,543.0,10.0,1.0,15869.0,83448.0,41758.0,41690.0,7032.0,12.0,0.0,0.0,0.0,0.0,1.0,49.95925606365641,5.2585544142668095,0.0,1.0,0.0,1.1983510689291534,50.04074393634359,12.0
2000,West Kameng,452.0,0.0,246.0,260.0,23.0,3.0,18159.0,83947.0,46155.0,37792.0,7422.0,11.0,0.0,0.0,0.0,0.0,1.0,45.0188809606061,4.622886722837161,0.0,1.0,0.0,1.1912277984919055,54.9811190393939,11.0
2000,West Siang,10111.0,0.0,250.0,444.0,17.0,2.0,21231.0,112274.0,58168.0,54106.0,8325.0,13.0,0.0,0.0,0.0,0.0,1.0,48.19103265226144,5.2882106353916445,0.0,1.0,0.0,0.8906781623528155,51.808967347738566,13.0
2000,Barpeta,1335.0,1.0,303.0,825.0,10.0,9.0,337929.0,1693622.0,867004.0,826618.0,2282.0,742.0,264.0,50.0,7.0,1.0,1.0,48.80770325373667,5.0117687443220325,321.0,2.0,18.95346187047641,0.1180901051120025,51.19229674626333,742.0
2000,Bongaigaon,2649.0,0.0,319.0,535.0,28.0,5.0,150018.0,738804.0,375818.0,362986.0,1093.0,676.0,87.0,30.0,2.0,0.0,1.0,49.13156940135679,4.924769027716674,119.0,1.0,16.1071136593738,0.1353538962972588,50.86843059864321,676.0
2000,Cachar,3896.0,1.0,316.0,998.0,42.0,19.0,379955.0,1736617.0,886284.0,850333.0,3786.0,459.0,269.0,30.0,1.0,0.0,1.0,48.96491281612468,4.570585990446237,300.0,1.0,17.274966213045246,0.0575832207101508,51.03508718387532,459.0
2000,Darrang,15594.0,0.0,325.0,552.0,9.0,3.0,187783.0,928500.0,475273.0,453227.0,1585.0,586.0,163.0,31.0,4.0,0.0,1.0,48.81281637049003,4.944537045419447,198.0,1.0,21.324717285945077,0.1077005923532579,51.18718362950996,586.0
2000,Dhemaji,826.0,0.0,308.0,1264.0,55.0,4.0,129869.0,686133.0,351249.0,334884.0,3237.0,212.0,98.0,21.0,3.0,0.0,1.0,48.8074469527045,5.283270064449561,122.0,1.0,17.780809260012273,0.1457443381968219,51.1925530472955,212.0
2000,Dhubri,2072.0,1.0,301.0,1052.0,39.0,9.0,414674.0,1949258.0,997848.0,951410.0,2176.0,896.0,246.0,44.0,6.0,1.0,1.0,48.80882879536726,4.700699826851936,296.0,2.0,15.185265367642458,0.1026031443759625,51.19117120463274,896.0
2000,Dibrugarh,70.0,0.0,310.0,1318.0,30.0,9.0,276867.0,1326335.0,676434.0,649901.0,3381.0,392.0,231.0,28.0,5.0,0.0,0.0,48.99976250343993,4.790513134465285,264.0,0.0,19.90447360583865,0.0,51.00023749656008,392.0
2000,Dima Hasao,3490.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Goalpara,5178.0,0.0,302.0,779.0,50.0,11.0,198454.0,1008183.0,513292.0,494891.0,1824.0,553.0,151.0,41.0,2.0,0.0,1.0,49.08741766127777,5.080184828726052,194.0,1.0,19.242538309017316,0.0991883417990583,50.91258233872223,553.0
2000,Golaghat,157.0,0.0,313.0,1032.0,93.0,7.0,227197.0,1066888.0,543161.0,523727.0,3502.0,305.0,144.0,42.0,4.0,1.0,1.0,49.08922023680086,4.6958718645052535,190.0,2.0,17.808804673030345,0.187461101821372,50.91077976319913,305.0
2000,Hailakandi,5216.0,0.0,318.0,330.0,1.0,3.0,143350.0,659296.0,337890.0,321406.0,1327.0,497.0,105.0,12.0,2.0,0.0,1.0,48.7498786584478,4.599204743634461,119.0,1.0,18.049555889918945,0.1516769402514197,51.2501213415522,497.0
2000,Jorhat,214.0,0.0,312.0,763.0,85.0,11.0,236262.0,1092256.0,556805.0,535451.0,2851.0,383.0,143.0,41.0,3.0,2.0,0.0,49.02248190900302,4.623070997451982,187.0,2.0,17.120528520786337,0.1831072569068057,50.97751809099699,383.0
2000,Kamrup,7063.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Karbi Anglong,16679.0,20.0,314.0,2712.0,209.0,7.0,177646.0,956313.0,490167.0,466146.0,10434.0,92.0,145.0,47.0,5.0,1.0,1.0,48.74408274278401,5.383250959773933,197.0,2.0,20.599950016364936,0.2091365483894917,51.255917257216,92.0
2000,Karimganj,477.0,0.0,317.0,915.0,21.0,7.0,247714.0,1228686.0,625864.0,602822.0,1809.0,679.0,217.0,23.0,1.0,0.0,1.0,49.06233162907366,4.960099146596479,241.0,1.0,19.614449908276,0.081387758955502,50.93766837092634,679.0
2000,Kokrajhar,3688.0,2.0,300.0,1053.0,15.0,4.0,181081.0,887142.0,452905.0,434237.0,3296.0,269.0,159.0,45.0,4.0,1.0,1.0,48.94785727651267,4.899144581706529,208.0,2.0,23.44607740361746,0.2254430519578601,51.052142723487336,269.0
2000,Lakhimpur,2017.0,0.0,307.0,1146.0,38.0,4.0,204307.0,1042137.0,529674.0,512463.0,2277.0,458.0,156.0,28.0,5.0,1.0,1.0,49.1742448449676,5.100838444106174,189.0,2.0,18.135811318473483,0.1919133472854337,50.8257551550324,458.0
2000,Marigaon,481.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Nagaon,4724.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Nalbari,1516.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Sivasagar,47.0,1.0,311.0,862.0,13.0,7.0,248367.0,1151050.0,589216.0,561834.0,2668.0,431.0,219.0,43.0,2.0,2.0,1.0,48.81056426740802,4.634472373543989,264.0,3.0,22.935580556882847,0.260631597237305,51.18943573259198,431.0
2000,Sonitpur,6089.0,10.0,306.0,1798.0,78.0,8.0,392919.0,1924110.0,983904.0,940206.0,5204.0,370.0,279.0,53.0,3.0,2.0,1.0,48.86446201100769,4.896963496293129,335.0,3.0,17.410647000431368,0.1559162417949077,51.13553798899231,370.0
2000,Tinsukia,1437.0,0.0,309.0,1136.0,32.0,13.0,268598.0,1327929.0,680231.0,647698.0,3790.0,350.0,164.0,19.0,5.0,0.0,1.0,48.77504746112179,4.943927356123277,188.0,1.0,14.157383414324109,0.0753052309272559,51.22495253887821,350.0
2000,Araria,0.0,0.0,209.0,716.0,26.0,3.0,568142.0,2811569.0,1463333.0,1348236.0,2830.0,993.0,199.0,33.0,2.0,1.0,1.0,47.95315355945382,4.948708245473843,234.0,2.0,8.322755016860693,0.0711346582637666,52.04684644054619,993.0
2000,Aurangabad,2052.0,0.0,235.0,1742.0,105.0,6.0,391898.0,2540073.0,1318684.0,1221389.0,3305.0,769.0,216.0,70.0,3.0,0.0,1.0,48.08479913766258,6.4814645647591975,289.0,1.0,11.377625761149384,0.039368947270413,51.91520086233742,769.0
2000,Aurangabad,2052.0,0.0,235.0,1742.0,105.0,6.0,391898.0,2540073.0,1318684.0,1221389.0,3305.0,769.0,279.0,50.0,10.0,3.0,0.0,48.08479913766258,6.4814645647591975,339.0,3.0,13.346073124670038,0.1181068418112392,51.91520086233742,769.0
2000,Banka,0.0,0.0,225.0,1702.0,409.0,2.0,381601.0,2034763.0,1067140.0,967623.0,3020.0,674.0,265.0,43.0,3.0,1.0,1.0,47.55458006657287,5.332174181933485,311.0,2.0,15.28433532553914,0.0982915455018594,52.44541993342714,674.0
2000,Begusarai,0.0,0.0,222.0,694.0,446.0,10.0,589667.0,2970541.0,1567660.0,1402881.0,1918.0,1549.0,287.0,41.0,2.0,1.0,1.0,47.226447976984666,5.037658542872503,330.0,2.0,11.109087536580038,0.0673278032520002,52.77355202301533,1549.0
2000,Bhagalpur,32.0,0.0,224.0,966.0,549.0,10.0,564711.0,3037766.0,1615663.0,1422103.0,2569.0,1182.0,258.0,71.0,3.0,2.0,1.0,46.81410615564201,5.379328541501759,332.0,3.0,10.929084070333266,0.0987567837680716,53.18589384435799,1182.0
2000,Bhojpur,11.0,0.0,231.0,997.0,220.0,6.0,416090.0,2728407.0,1430380.0,1298027.0,2395.0,1139.0,302.0,42.0,3.0,1.0,1.0,47.57453708336036,6.557252036818958,347.0,2.0,12.71804389887579,0.0733028466793993,52.42546291663963,1139.0
2000,Buxar,0.0,0.0,232.0,835.0,298.0,3.0,261660.0,1706352.0,887977.0,818375.0,1703.0,1002.0,147.0,35.0,0.0,2.0,1.0,47.960502873967386,6.52125659252465,182.0,3.0,10.66602904910593,0.1758136656446032,52.03949712603261,1002.0
2000,Darbhanga,0.0,0.0,215.0,1069.0,178.0,4.0,803012.0,3937385.0,2059949.0,1877436.0,2279.0,1728.0,259.0,55.0,2.0,1.0,0.0,47.68230691182092,4.903270436805427,316.0,1.0,8.025631224784979,0.025397567167041,52.31769308817909,1728.0
2000,Gaya,1436.0,0.0,236.0,2682.0,204.0,6.0,688425.0,4391418.0,2266566.0,2124852.0,4976.0,883.0,440.0,71.0,2.0,0.0,1.0,48.38646651263897,6.378934524458002,513.0,1.0,11.68187587699463,0.0227716878693852,51.61353348736103,883.0
2000,Gopalganj,7.0,0.0,217.0,1395.0,139.0,5.0,413044.0,2562012.0,1267666.0,1294346.0,2033.0,1260.0,195.0,35.0,3.0,1.0,1.0,50.52068452450652,6.2027580596740295,233.0,2.0,9.094414858322288,0.0780636468525518,49.47931547549348,1260.0
2000,Jamui,1514.0,0.0,238.0,1324.0,179.0,5.0,307082.0,1760405.0,916064.0,844341.0,3098.0,568.0,279.0,57.0,3.0,1.0,1.0,47.96288354100335,5.732687034733393,339.0,2.0,19.25693235363453,0.1136102203754249,52.03711645899665,568.0
2000,Jehanabad,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Kaimur (Bhabua),850.0,0.0,233.0,1337.0,358.0,3.0,250884.0,1626384.0,847006.0,779378.0,3332.0,488.0,183.0,30.0,2.0,2.0,1.0,47.92090920717371,6.482613478739179,215.0,3.0,13.21951027555608,0.184458282914736,52.0790907928263,488.0
2000,Katihar,0.0,0.0,212.0,1306.0,234.0,3.0,619076.0,3071029.0,1600430.0,1470599.0,3057.0,1005.0,330.0,62.0,1.0,2.0,1.0,47.88619710201369,4.960665572562981,393.0,3.0,12.797013639402298,0.0976871270183381,52.113802897986304,1005.0
2000,Khagaria,0.0,0.0,223.0,245.0,56.0,2.0,328823.0,1666886.0,883786.0,783100.0,1486.0,1122.0,171.0,26.0,1.0,1.0,1.0,46.97981745602279,5.069250022048336,198.0,2.0,11.878436797717422,0.1199842100779537,53.020182543977214,1122.0
2000,Kishanganj,0.0,0.0,210.0,732.0,39.0,3.0,338445.0,1690400.0,866970.0,823430.0,1884.0,897.0,136.0,16.0,2.0,0.0,1.0,48.71213913866541,4.994607691057631,154.0,1.0,9.11026975863701,0.0591575958353052,51.2878608613346,897.0
2000,Lakhisarai,3.0,0.0,227.0,362.0,110.0,2.0,163355.0,1000912.0,526345.0,474567.0,1228.0,815.0,102.0,22.0,1.0,1.0,1.0,47.41345892545998,6.127219858590187,125.0,2.0,12.488610387326757,0.1998177661972281,52.586541074540015,815.0
